water_depth_min,water_depth_max,profile,num_rays,SLD_depth,SLD_avgrad,DC_axis,DC_top,DC_bot,DC_avgrad_top,DC_avgrad_bot
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
600,600,Mediterranean Sea Winter,500,600,0.008866313,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
600,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,750,Mediterranean Sea Winter,500,750,0.009451125217392,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
750,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,1000,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,900,Mediterranean Sea Winter,500,900,0.010062097692308,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
900,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1050,Mediterranean Sea Winter,500,1050,0.010621258965518,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
1050,1500,Mediterranean Sea Winter,500,1500,0.012014897894737,,,,,
