water_depth_min,water_depth_max,wedge_slope,source_depth,profile,bottom_type,num_rays,len_slope,SLD_depth,SLD_avgrad,DC_axis,DC_top,DC_bot,DC_avgrad_top,DC_avgrad_bot,SSP_wmin,SSP_wmax,SSP_src,SSP_dcax,SSP_dcb,SSP_dct,SSP_sld
450,1500,-2,50,Mediterranean Sea Winter,1,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1512.465273,,,,1531.729727
450,1500,-2,70,Mediterranean Sea Winter,1,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1512.795898,,,,1531.729727
450,1500,-2,100,Mediterranean Sea Winter,1,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1512.945547,,,,1531.729727
450,1500,-2,150,Mediterranean Sea Winter,1,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1513.331953,,,,1531.729727
450,1500,-2,200,Mediterranean Sea Winter,1,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1513.696211,,,,1531.729727
450,1500,-2,300,Mediterranean Sea Winter,1,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1514.516523,,,,1531.729727
450,1500,-2,15,Mediterranean Sea Winter,2,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1512.1807815,,,,1531.729727
450,1500,-2,30,Mediterranean Sea Winter,2,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1512.273516,,,,1531.729727
450,1500,-2,50,Mediterranean Sea Winter,2,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1512.465273,,,,1531.729727
450,1500,-2,70,Mediterranean Sea Winter,2,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1512.795898,,,,1531.729727
450,1500,-2,100,Mediterranean Sea Winter,2,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1512.945547,,,,1531.729727
450,1500,-2,150,Mediterranean Sea Winter,2,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1513.331953,,,,1531.729727
450,1500,-2,200,Mediterranean Sea Winter,2,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1513.696211,,,,1531.729727
450,1500,-2,300,Mediterranean Sea Winter,2,500,30068.0,1500.0,0.01201489789473698,,,,,,1516.013379,1531.729727,1514.516523,,,,1531.729727
