,water_depth_min,water_depth_max,wedge_slope,source_depth,bottom_type,len_slope,SLD_depth,SLD_avgrad,DC_axis,DC_top,DC_bot,DC_avgrad_top,DC_avgrad_bot,SSP_wmin,SSP_wmax,SSP_src,SSP_dcax,SSP_dcb,SSP_dct,SSP_sld,Autumn,Spring,Summer,Winter,Labrador-Sea,Mediterranean-Sea,North-Pacific-Ocean,Norwegian-Sea,South-Atlantic-Ocean,South-Pacific-Ocean
2126,1200,1500,-2,200,1,8591.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1492.947266,1493.98207,1507.463828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0
2127,1050,1500,-2,200,1,12886.0,0.0,0.0,100.0,0.0,950.0,-0.1380200083333331,0.01228834777777744,1524.373477,1531.777734,1513.210391,1512.183359,1522.785176,1522.055742,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2128,900,1500,2,150,1,17182.0,0.0,0.0,150.0,100.0,200.0,-0.02203672000000097,0.02704454000000169,1475.536563,1482.384961,1469.236367,1469.236367,1470.588594,1470.338203,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2129,50,1500,2,50,2,41523.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1494.409921875,1485.604453125,1494.409921875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
2130,600,600,0,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1495.836328,1495.836328,1524.8044335,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2131,600,1500,2,15,2,25773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.070508,1482.35875,1463.911289,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2132,600,1500,-2,70,2,25773.0,0.0,0.0,150.0,0.0,1200.0,-0.06783950399999927,0.01287235809523801,1517.753789,1531.869609,1515.840469,1513.334883,1526.850859,1526.793047,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2133,900,1500,2,100,1,17182.0,300.0,0.03504988119047561,0.0,0.0,0.0,0.0,0.0,1464.51418,1470.175508,1477.913711,0.0,0.0,0.0,1480.994766,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2134,50,50,0,15,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1524.978359,1524.978359,1532.885293,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
2135,350,1500,2,70,1,32932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1472.1918945,1482.384961,1470.038203,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2136,600,600,0,100,1,0.0,300.0,0.03504988119047561,0.0,0.0,0.0,0.0,0.0,1474.407734,1474.407734,1477.913711,0.0,0.0,0.0,1480.994766,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
2137,600,1500,2,300,1,25773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1473.346367,1470.093633,1479.183633,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
2138,350,350,0,30,1,0.0,0.0,0.0,100.0,30.0,350.0,-0.06654818888888737,0.01044173499999942,1514.8581835,1514.8581835,1516.212227,1512.183359,1514.8581835,1516.212227,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2139,900,900,0,70,1,0.0,0.0,0.0,125.0,20.0,500.0,-0.05824202733333382,0.01886406000000079,1475.475234,1475.475234,1468.336797,1465.369141,1472.388281,1472.135078,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
